title_detail,address,opening_hours,seats,title_URL_detail,normalized_url,title_shop,title_URL_shop,access,star,detail_URL,comment,bookmark,price,pop_score
"
                アルカンシェール アパホテル金沢駅前
              ","
                石川県金沢市広岡1-9-28 アパホテル　金沢駅前

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            18:00 - 22:30
                              L.O. 料理21:00
                          ",60席,https://tabelog.com/ishikawa/A1701/A170101/17000404/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17000404,アルカンシェール アパホテル金沢駅前,https://tabelog.com/ishikawa/A1701/A170101/17000404/," 金沢駅 121m / ダイニングバー、カフェ・喫茶店(カフェ)、イタリアン
            ",3.07,https://tabelog.com/ishikawa/A1701/A170101/17000404/dtlrvwlst/,8,331,,17.821764354573617
"
                スターバックスコーヒー 金沢フォーラス6階クーゴ店
              ","
                石川県金沢市堀川新町3-1 金沢フォーラス 6F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            10:00 - 22:00
                          ","
                  無                ",https://tabelog.com/ishikawa/A1701/A170101/17007673/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17007673,スターバックスコーヒー 金沢フォーラス6階クーゴ店,https://tabelog.com/ishikawa/A1701/A170101/17007673/,"
              金沢駅 222m (北鉄金沢駅 131m) / カフェ・喫茶店(カフェ)
            ",3.05,https://tabelog.com/ishikawa/A1701/A170101/17007673/dtlrvwlst/,48,250,,16.852631464351937
"
                珈琲館 長田亭
              ","
                石川県金沢市本町2-18-32 

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ",,"
                  無                ",https://tabelog.com/ishikawa/A1701/A170101/17003004/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17003004,珈琲館 長田亭,https://tabelog.com/ishikawa/A1701/A170101/17003004/,"
              金沢駅 409m (北鉄金沢駅 331m) / カフェ・喫茶店(喫茶店)、カフェ・喫茶店(カフェ)
            ",3.09,https://tabelog.com/ishikawa/A1701/A170101/17003004/dtlrvwlst/,16,416,,18.642236425358295
"
                カフェぶどうの森 ファーム金沢百番街店
              ","
                石川県金沢市木ノ新保町1-1 JR金沢駅百番街あんと西 1F 百番キッチン

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            11:00 - 22:00
                          ",20席,https://tabelog.com/ishikawa/A1701/A170101/17012324/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17012324,カフェぶどうの森 ファーム金沢百番街店,https://tabelog.com/ishikawa/A1701/A170101/17012324/," 金沢駅 44m / イタリアン、カフェ・喫茶店(カフェ)、ピザ
            ",3.13,https://tabelog.com/ishikawa/A1701/A170101/17012324/dtlrvwlst/,30,209,,16.736446571145677
"
                珈琲舎　莫迦Bacca
              ","
                石川県金沢市此花町4-26 

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            12:00 - 23:00
                          ",8席,https://tabelog.com/ishikawa/A1701/A170101/17010343/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17010343,珈琲舎　莫迦Bacca,https://tabelog.com/ishikawa/A1701/A170101/17010343/,"
              金沢駅 333m (北鉄金沢駅 189m) / カフェ・喫茶店(カフェ)
            ",3.08,https://tabelog.com/ishikawa/A1701/A170101/17010343/dtlrvwlst/,11,250,,17.018395052525893
"
                ジェラート ピケ カフェ 金沢フォーラス店
              ","
                石川県金沢市堀川新町3-1 金沢フォーラス 1F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            10:00 - 20:00
                          ","
                  無                ",https://tabelog.com/ishikawa/A1701/A170101/17012400/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17012400,ジェラート ピケ カフェ 金沢フォーラス店,https://tabelog.com/ishikawa/A1701/A170101/17012400/,"
              金沢駅 223m (北鉄金沢駅 131m) / カフェ・喫茶店(カフェ)、スイーツ
            ",3.16,https://tabelog.com/ishikawa/A1701/A170101/17012400/dtlrvwlst/,18,162,,16.09625063454937
"
                7day's Soup Cafe
              ","
                石川県金沢市広岡1-9-28 アパホテル金沢駅前 1F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            07:00 - 17:00
                          ",46席,https://tabelog.com/ishikawa/A1701/A170101/17012634/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17012634,7day's Soup Cafe,https://tabelog.com/ishikawa/A1701/A170101/17012634/," 金沢駅 121m / カフェ・喫茶店(カフェ)
            ",3.25,https://tabelog.com/ishikawa/A1701/A170101/17012634/dtlrvwlst/,24,548,,20.501319934905975
"
                レモネードバイレモニカ 金沢FORUS店2
              ","
                石川県金沢市堀川新町3-1 金沢フォーラス 6F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            11:00 - 23:00
                          ","
                  無                ",https://tabelog.com/ishikawa/A1701/A170101/17011307/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17011307,レモネードバイレモニカ 金沢FORUS店2,https://tabelog.com/ishikawa/A1701/A170101/17011307/,"
              金沢駅 215m (北鉄金沢駅 113m) / カフェ・喫茶店(カフェ)
            ",3.03,https://tabelog.com/ishikawa/A1701/A170101/17011307/dtlrvwlst/,19,241,,16.63148131025476
"
                ブルーマンデー
              ","
                石川県金沢市本町2-15-1 ポルテ金沢 B1F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            09:00 - 19:00
                          ","
                  無                ",https://tabelog.com/ishikawa/A1701/A170101/17007921/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17007921,ブルーマンデー,https://tabelog.com/ishikawa/A1701/A170101/17007921/,"
              金沢駅 254m (北鉄金沢駅 190m) / カフェ・喫茶店(コーヒースタンド)
            ",3.31,https://tabelog.com/ishikawa/A1701/A170101/17007921/dtlrvwlst/,37,1453,,24.10366380828937
"
                スターバックスコーヒー 金沢フォーラス1階店
              ","
                石川県金沢市堀川新町3-1 金沢フォーラス 1F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

              
                
                  このお店は「金沢市堀川新町3-1」から移転しています。
                  ※移転前の情報は最新のものとは異なります。
                
                  
                    移転前の店舗情報を見る
                  
              
          ",,"
                  無                ",https://tabelog.com/ishikawa/A1701/A170101/17013499/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17013499,スターバックスコーヒー 金沢フォーラス1階店,https://tabelog.com/ishikawa/A1701/A170101/17013499/,"
              金沢駅 223m (北鉄金沢駅 131m) / カフェ・喫茶店(カフェ)
            ",3.03,https://tabelog.com/ishikawa/A1701/A170101/17013499/dtlrvwlst/,20,95,,13.829975020147543
"
                CAFÉ&BAR SQOL
              ","
                石川県金沢市広岡3-3-70 

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            10:00 - 16:00
                          ","
                  無                ",https://tabelog.com/ishikawa/A1701/A170101/17010670/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17010670,CAFÉ&BAR SQOL,https://tabelog.com/ishikawa/A1701/A170101/17010670/," 金沢駅 394m / カフェ・喫茶店(カフェ)
            ",3.16,https://tabelog.com/ishikawa/A1701/A170101/17010670/dtlrvwlst/,24,554,,19.967939239438735
"
                本町ストラット
              ","
                石川県金沢市本町2-6-25 

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            08:00 - 20:00
                          ",15席,https://tabelog.com/ishikawa/A1701/A170101/17011306/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17011306,本町ストラット,https://tabelog.com/ishikawa/A1701/A170101/17011306/,"
              金沢駅 456m (北鉄金沢駅 453m) / 日本料理、オーガニック、カフェ・喫茶店(喫茶店)
            ",3.27,https://tabelog.com/ishikawa/A1701/A170101/17011306/dtlrvwlst/,26,810,,21.9033365369574
"
                菓ふぇ ムラカミ クロスゲート金沢店
              ","
                石川県金沢市広岡1-5-3 クロスゲート金沢 1F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            11:00 - 20:00
                              L.O. 19:00
                          ",20席,https://tabelog.com/ishikawa/A1701/A170101/17012347/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17012347,菓ふぇ ムラカミ クロスゲート金沢店,https://tabelog.com/ishikawa/A1701/A170101/17012347/," 金沢駅 202m / カフェ・喫茶店(カフェ)、カフェ・喫茶店(甘味処)
            ",3.29,https://tabelog.com/ishikawa/A1701/A170101/17012347/dtlrvwlst/,65,1650,,24.376058900497224
"
                ドンク JR金沢駅店
              ","
                石川県金沢市木ノ新保町1-1 金沢百番街 あんと西 1F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            07:00 - 22:00
                              L.O. 21:00
                          ",20席,https://tabelog.com/ishikawa/A1701/A170101/17001102/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17001102,ドンク JR金沢駅店,https://tabelog.com/ishikawa/A1701/A170101/17001102/," 金沢駅 41m / パン、カフェ・喫茶店(カフェ)、サンドイッチ
            ",3.16,https://tabelog.com/ishikawa/A1701/A170101/17001102/dtlrvwlst/,113,625,,20.348347172676313
"
                番飛
              ","
                石川県金沢市本町2-6-25 

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            11:30 - 14:00
                          ",26席,https://tabelog.com/ishikawa/A1701/A170101/17004900/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17004900,番飛,https://tabelog.com/ishikawa/A1701/A170101/17004900/,"
              金沢駅 454m (北鉄金沢駅 447m) / カフェ・喫茶店(喫茶店)、食堂
            ",3.05,https://tabelog.com/ishikawa/A1701/A170101/17004900/dtlrvwlst/,12,291,,17.31409909691826
"
                スターバックスコーヒー 金沢百番街Rinto店
              ","
                石川県金沢市木ノ新保町1-1 

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            07:00 - 23:00
                          ","
                  無                ",https://tabelog.com/ishikawa/A1701/A170101/17012293/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17012293,スターバックスコーヒー 金沢百番街Rinto店,https://tabelog.com/ishikawa/A1701/A170101/17012293/," 金沢駅 65m / カフェ・喫茶店(カフェ)
            ",3.13,https://tabelog.com/ishikawa/A1701/A170101/17012293/dtlrvwlst/,76,318,,18.04504815171656
"
                オーボンパン パンプロ ジャポン
              ","
                石川県金沢市堀川新町3-1 金沢フォーラス 1F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            10:00 - 21:00
                          ","
                  無                ",https://tabelog.com/ishikawa/A1701/A170101/17000869/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17000869,オーボンパン パンプロ ジャポン,https://tabelog.com/ishikawa/A1701/A170101/17000869/,"
              金沢駅 220m (北鉄金沢駅 125m) / パン、カフェ・喫茶店(カフェ)
            ",3.12,https://tabelog.com/ishikawa/A1701/A170101/17000869/dtlrvwlst/,95,1590,,23.001008248413896
"
                サニーベルコーヒー
              ","
                石川県金沢市笠市町5-8 

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

              
                
                  このお店は「野々市市扇が丘9-20」から移転しています。
                  ※移転前の情報は最新のものとは異なります。
                
                  
                    移転前の店舗情報を見る
                  
              
          ","
                            11:00 - 18:00
                          ",5席,https://tabelog.com/ishikawa/A1701/A170101/17010661/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17010661,サニーベルコーヒー,https://tabelog.com/ishikawa/A1701/A170101/17010661/,"
              金沢駅 644m (北鉄金沢駅 498m) / カフェ・喫茶店(コーヒースタンド)
            ",3.22,https://tabelog.com/ishikawa/A1701/A170101/17010661/dtlrvwlst/,34,1347,,23.204534878540652
"
                幸せのパンケーキ 金沢 FORUS店
              ","
                石川県金沢市堀川新町3-1 金沢フォーラス 6F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            11:00 - 20:00
                              L.O. 19:15
                          ",29席,https://tabelog.com/ishikawa/A1701/A170101/17010554/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17010554,幸せのパンケーキ 金沢 FORUS店,https://tabelog.com/ishikawa/A1701/A170101/17010554/,"
              金沢駅 206m (北鉄金沢駅 108m) / カフェ・喫茶店(パンケーキ)、カフェ・喫茶店(カフェ)、ケーキ
            ",3.07,https://tabelog.com/ishikawa/A1701/A170101/17010554/dtlrvwlst/,89,1140,,21.61175727407657
"
                スターバックスコーヒー クロスゲート金沢店
              ","
                石川県金沢市広岡1-5-3 クロスゲート金沢 1F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            07:00 - 22:00
                          ",75席,https://tabelog.com/ishikawa/A1701/A170101/17012343/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17012343,スターバックスコーヒー クロスゲート金沢店,https://tabelog.com/ishikawa/A1701/A170101/17012343/," 金沢駅 204m / カフェ・喫茶店(カフェ)
            ",3.07,https://tabelog.com/ishikawa/A1701/A170101/17012343/dtlrvwlst/,43,226,,16.654596553667908
"
                6 APARTMENT COFFEE
              ","
                石川県金沢市六枚町2-2 スクエアコート 1F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            07:00 - 17:00
                          ","
                  無                ",https://tabelog.com/ishikawa/A1701/A170101/17013891/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17013891,6 APARTMENT COFFEE,https://tabelog.com/ishikawa/A1701/A170101/17013891/," 金沢駅 520m / カフェ・喫茶店(コーヒースタンド)、カフェ・喫茶店(カフェ)
            ",3.23,https://tabelog.com/ishikawa/A1701/A170101/17013891/dtlrvwlst/,40,768,,21.46364383150323
"
                八百屋のパーラー ホリタ205
              ","
                石川県金沢市木ノ新保町1-1 金沢百番街Rinto

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            07:00 - 20:00
                          ",26席,https://tabelog.com/ishikawa/A1701/A170101/17012271/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17012271,八百屋のパーラー ホリタ205,https://tabelog.com/ishikawa/A1701/A170101/17012271/," 金沢駅 113m / カフェ・喫茶店(フルーツパーラー)
            ",3.46,https://tabelog.com/ishikawa/A1701/A170101/17012271/dtlrvwlst/,103,1484,,25.26896837727933
"
                レモネード バイ レモニカ 金沢フォーラス1F店
              ","
                石川県金沢市堀川新町3-1 金沢フォーラス 1F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            10:00 - 20:00
                          ","
                  無                ",https://tabelog.com/ishikawa/A1701/A170101/17011995/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17011995,レモネード バイ レモニカ 金沢フォーラス1F店,https://tabelog.com/ishikawa/A1701/A170101/17011995/,"
              金沢駅 168m (北鉄金沢駅 92m) / カフェ・喫茶店(ジューススタンド)
            ",3.04,https://tabelog.com/ishikawa/A1701/A170101/17011995/dtlrvwlst/,23,140,,15.044230066749632
"
                SOLO
              ","
                石川県金沢市広岡1-10-14 

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            12:00 - 23:00
                          ",12席,https://tabelog.com/ishikawa/A1701/A170101/17006387/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17006387,SOLO,https://tabelog.com/ishikawa/A1701/A170101/17006387/," 金沢駅 193m / バー、カフェ・喫茶店(カフェ)
            ",3.56,https://tabelog.com/ishikawa/A1701/A170101/17006387/dtlrvwlst/,107,6123,,31.043095894128165
"
                カフェ加賀麩不室屋
              ","
                石川県金沢市木ノ新保町7-1-1 JR金沢駅 金沢百番街・あんと 西 百番キッチン 1F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            09:00 - 21:00
                              L.O. 20:00
                          ",34席,https://tabelog.com/ishikawa/A1701/A170101/17012414/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17012414,カフェ加賀麩不室屋,https://tabelog.com/ishikawa/A1701/A170101/17012414/," 金沢駅 54m / カフェ・喫茶店(甘味処)、郷土料理、カフェ・喫茶店(カフェ)
            ",3.2,https://tabelog.com/ishikawa/A1701/A170101/17012414/dtlrvwlst/,147,2587,,25.14765009798653
"
                ジャーマンベーカリー 百番街店
              ","
                石川県金沢市木ノ新保町1-1 金沢百番街 Rinto

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            07:00 - 20:00
                          ","
                  無                ",https://tabelog.com/ishikawa/A1701/A170101/17000957/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17000957,ジャーマンベーカリー 百番街店,https://tabelog.com/ishikawa/A1701/A170101/17000957/," 金沢駅 98m / パン、サンドイッチ、カフェ・喫茶店(カフェ)
            ",3.23,https://tabelog.com/ishikawa/A1701/A170101/17000957/dtlrvwlst/,192,1712,,24.050584839586907
"
                アンゴロカフェ
              ","
                石川県金沢市笠市町10-1 

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            08:00 - 16:30
                              L.O. ドリンク16:00
                          ","
                  無                ",https://tabelog.com/ishikawa/A1701/A170101/17012479/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17012479,アンゴロカフェ,https://tabelog.com/ishikawa/A1701/A170101/17012479/,"
              金沢駅 694m (北鉄金沢駅 539m) / カフェ・喫茶店(カフェ)
            ",3.44,https://tabelog.com/ishikawa/A1701/A170101/17012479/dtlrvwlst/,68,2845,,27.360624038555304
"
                ブレディット カフェ＆ベーカリーコー
              ","
                石川県金沢市堀川新町3-1 金沢フォーラス 1F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            10:00 - 21:00
                          ",30席,https://tabelog.com/ishikawa/A1701/A170101/17010019/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17010019,ブレディット カフェ＆ベーカリーコー,https://tabelog.com/ishikawa/A1701/A170101/17010019/,"
              金沢駅 222m (北鉄金沢駅 131m) / パン、カフェ・喫茶店(カフェ)
            ",3.2,https://tabelog.com/ishikawa/A1701/A170101/17010019/dtlrvwlst/,37,1004,,22.120777025578164
"
                オー! マイステーキ
              ","
                石川県金沢市堀川新町3-1 金沢フォーラス 6F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            11:00 - 23:00
                          ",70席,https://tabelog.com/ishikawa/A1701/A170101/17011239/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17011239,オー! マイステーキ,https://tabelog.com/ishikawa/A1701/A170101/17011239/,"
              金沢駅 222m (北鉄金沢駅 131m) / ステーキ、鉄板焼き、カフェ・喫茶店(カフェ)
            ",3.08,https://tabelog.com/ishikawa/A1701/A170101/17011239/dtlrvwlst/,29,327,,17.842481913823164
"
                CAFE 63°
              ","
                石川県金沢市六枚町2-12 

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            11:00 - 17:00
                          ","
                  無                ",https://tabelog.com/ishikawa/A1701/A170101/17014126/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17014126,CAFE 63°,https://tabelog.com/ishikawa/A1701/A170101/17014126/," 金沢駅 496m / カフェ・喫茶店(カフェ)
            ",3.14,https://tabelog.com/ishikawa/A1701/A170101/17014126/dtlrvwlst/,10,169,,16.126407092337825
"
                TULLY'S COFFEE&TEA 金沢百番街Rinto店
              ","
                石川県金沢市木ノ新保町1-1 金沢百番街 Rinto 1F

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            10:00 - 20:00
                          ",59席,https://tabelog.com/ishikawa/A1701/A170101/17014102/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17014102,TULLY'S COFFEE&TEA 金沢百番街Rinto店,https://tabelog.com/ishikawa/A1701/A170101/17014102/,"
              金沢駅 128m (北鉄金沢駅 113m) / カフェ・喫茶店(カフェ)
            ",3.14,https://tabelog.com/ishikawa/A1701/A170101/17014102/dtlrvwlst/,14,55,,12.639604308908371
"
                カスケイド ラウンジ
              ","
                石川県金沢市昭和町16-3 ANAクラウンプラザホテル金沢 1FL.

              
                
                    
                

                
                  
                      大きな地図を見る
                  
                    
                      周辺のお店を探す
                    
                
              

          ","
                            09:00 - 18:00
                          ",52席,https://tabelog.com/ishikawa/A1701/A170101/17005372/#title-rstdata,https://tabelog.com/ishikawa/a1701/a170101/17005372,カスケイド ラウンジ,https://tabelog.com/ishikawa/A1701/A170101/17005372/,"
              金沢駅 177m (北鉄金沢駅 173m) / カフェ・喫茶店(カフェ)、スイーツ
            ",3.17,https://tabelog.com/ishikawa/A1701/A170101/17005372/dtlrvwlst/,26,296,,18.049130880004558
